image,source_group,bootstrap_stratum
f3f639ac-右轨正常32.jpg,normal_pair_32,Normal-only
37729d64-右轨正常33.jpg,normal_pair_33,Normal-only
b0245b4b-左轨正常33.jpg,normal_pair_33,Normal-only
c623c88f-左轨正常34.jpg,normal_pair_34,Normal-only
ddaebaad-右轨正常34.jpg,normal_pair_34,Normal-only
5451bb70-右轨正常35.jpg,normal_pair_35,Normal-only
8dd791bf-左轨正常35.jpg,normal_pair_35,Normal-only
293b0e27-左轨正常36.jpg,normal_pair_36,Normal-only
8bb52ffa-右轨正常36.jpg,normal_pair_36,Normal-only
93ef82d8-左轨正常37.jpg,normal_pair_37,Normal-only
f4396e8f-右轨正常37.jpg,normal_pair_37,Normal-only
1e86d03f-右轨正常38.jpg,normal_pair_38,Normal-only
82bc5dd5-左轨正常38.jpg,normal_pair_38,Normal-only
076806e3-左轨正常39.jpg,normal_pair_39,Normal-only
7d123f82-右轨正常39.jpg,normal_pair_39,Normal-only
5244ca6d-右轨正常40.jpg,normal_pair_40,Normal-only
f9ffeeee-左轨正常40.jpg,normal_pair_40,Normal-only
